Card,Moved_pairs,Moved_share,Flipped_pairs,Flipped_share
F,329,0.7563218390804598,81,0.18620689655172415
E,328,0.7540229885057471,113,0.2597701149425287
C,322,0.7402298850574712,90,0.20689655172413793
β,317,0.728735632183908,119,0.2735632183908046
B,315,0.7241379310344828,117,0.2689655172413793
α,313,0.7195402298850575,136,0.31264367816091954
D,310,0.7126436781609196,108,0.2482758620689655
γ,307,0.7057471264367816,167,0.3839080459770115
A,307,0.7057471264367816,100,0.22988505747126436
