pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,worst_min_swaps
58,100,173,282,010101101,100011010,6
59,100,175,282,010101111,100011010,6
59,125,175,338,010101111,101010010,6
59,127,175,340,010101111,101010100,6
59,129,175,342,010101111,101010110,6
60,124,176,334,010110000,101001110,6
60,137,176,359,010110000,101100111,6
61,69,177,206,010110001,011001110,6
61,92,177,270,010110001,100001110,6
61,122,177,330,010110001,101001010,6
61,123,177,332,010110001,101001100,6
61,124,177,334,010110001,101001110,6
61,133,177,350,010110001,101011110,6
61,165,177,460,010110001,111001100,6
61,166,177,462,010110001,111001110,6
62,122,181,330,010110101,101001010,6
62,124,181,334,010110101,101001110,6
63,124,184,334,010111000,101001110,6
63,137,184,359,010111000,101100111,6
64,124,185,334,010111001,101001110,6
64,137,185,359,010111001,101100111,6
65,100,189,282,010111101,100011010,6
65,124,189,334,010111101,101001110,6
66,115,200,307,011001000,100110011,6
66,117,200,311,011001000,100110111,6
66,137,200,359,011001000,101100111,6
66,142,200,375,011001000,101110111,6
67,116,202,309,011001010,100110101,6
67,137,202,359,011001010,101100111,6
67,162,202,437,011001010,110110101,6
68,94,204,274,011001100,100010010,6
68,95,204,275,011001100,100010011,6
68,101,204,283,011001100,100011011,6
68,107,204,291,011001100,100100011,6
68,114,204,306,011001100,100110010,6
68,115,204,307,011001100,100110011,6
68,117,204,311,011001100,100110111,6
68,118,204,314,011001100,100111010,6
68,119,204,315,011001100,100111011,6
68,140,204,371,011001100,101110011,6
69,115,206,307,011001110,100110011,6
70,93,208,271,011010000,100001111,6
70,113,208,303,011010000,100101111,6
70,115,208,307,011010000,100110011,6
71,100,209,282,011010001,100011010,6
71,124,209,334,011010001,101001110,6
72,107,212,291,011010100,100100011,6
72,110,212,298,011010100,100101010,6
72,111,212,299,011010100,100101011,6
72,115,212,307,011010100,100110011,6
72,159,212,427,011010100,110101011,6
73,100,213,282,011010101,100011010,6
74,107,216,291,011011000,100100011,6
74,109,216,295,011011000,100100111,6
74,115,216,307,011011000,100110011,6
74,137,216,359,011011000,101100111,6
75,107,220,291,011011100,100100011,6
75,109,220,295,011011100,100100111,6
75,115,220,307,011011100,100110011,6
75,137,220,359,011011100,101100111,6
76,100,224,282,011100000,100011010,6
77,100,225,282,011100001,100011010,6
77,104,225,286,011100001,100011110,6
77,105,225,287,011100001,100011111,6
78,100,226,282,011100010,100011010,6
78,102,226,284,011100010,100011100,6
78,103,226,285,011100010,100011101,6
78,152,226,412,011100010,110011100,6
79,100,227,282,011100011,100011010,6
79,102,227,284,011100011,100011100,6
79,103,227,285,011100011,100011101,6
79,152,227,412,011100011,110011100,6
80,88,229,266,011100101,100001010,6
80,94,229,274,011100101,100010010,6
80,95,229,275,011100101,100010011,6
80,100,229,282,011100101,100011010,6
80,101,229,283,011100101,100011011,6
80,104,229,286,011100101,100011110,6
80,114,229,306,011100101,100110010,6
80,118,229,314,011100101,100111010,6
80,119,229,315,011100101,100111011,6
80,131,229,346,011100101,101011010,6
81,100,231,282,011100111,100011010,6
82,97,232,277,011101000,100010101,6
82,99,232,279,011101000,100010111,6
