pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,swaps
1,2,74,76,001001010,001001100,0
1,3,74,78,001001010,001001110,0
1,4,74,80,001001010,001010000,0
1,5,74,81,001001010,001010001,0
1,6,74,82,001001010,001010010,0
1,7,74,83,001001010,001010011,0
1,8,74,84,001001010,001010100,0
1,9,74,85,001001010,001010101,0
1,10,74,86,001001010,001010110,0
1,11,74,87,001001010,001010111,0
1,12,74,88,001001010,001011000,0
1,13,74,90,001001010,001011010,0
1,14,74,92,001001010,001011100,0
1,15,74,94,001001010,001011110,0
1,16,74,96,001001010,001100000,0
1,17,74,97,001001010,001100001,0
1,18,74,98,001001010,001100010,0
1,19,74,99,001001010,001100011,0
1,20,74,101,001001010,001100101,0
1,21,74,103,001001010,001100111,0
1,22,74,104,001001010,001101000,0
1,23,74,106,001001010,001101010,0
1,24,74,112,001001010,001110000,0
1,25,74,113,001001010,001110001,0
1,26,74,114,001001010,001110010,0
1,27,74,115,001001010,001110011,0
1,28,74,117,001001010,001110101,0
1,29,74,119,001001010,001110111,0
1,30,74,120,001001010,001111000,0
1,31,74,122,001001010,001111010,0
1,32,74,136,001001010,010001000,0
1,33,74,137,001001010,010001001,0
1,34,74,138,001001010,010001010,0
1,35,74,139,001001010,010001011,0
1,36,74,140,001001010,010001100,0
1,37,74,141,001001010,010001101,0
1,38,74,142,001001010,010001110,0
1,39,74,143,001001010,010001111,0
1,40,74,144,001001010,010010000,0
1,41,74,145,001001010,010010001,0
1,42,74,148,001001010,010010100,0
1,43,74,149,001001010,010010101,0
1,44,74,152,001001010,010011000,0
1,45,74,153,001001010,010011001,0
1,46,74,156,001001010,010011100,0
1,47,74,157,001001010,010011101,0
1,48,74,160,001001010,010100000,0
1,49,74,161,001001010,010100001,0
1,50,74,162,001001010,010100010,0
1,51,74,163,001001010,010100011,0
1,52,74,165,001001010,010100101,0
1,53,74,167,001001010,010100111,0
1,54,74,168,001001010,010101000,0
1,55,74,169,001001010,010101001,0
1,56,74,170,001001010,010101010,0
1,57,74,171,001001010,010101011,0
1,58,74,173,001001010,010101101,0
1,59,74,175,001001010,010101111,0
1,60,74,176,001001010,010110000,0
1,61,74,177,001001010,010110001,0
1,62,74,181,001001010,010110101,0
1,63,74,184,001001010,010111000,0
1,64,74,185,001001010,010111001,0
1,65,74,189,001001010,010111101,0
1,66,74,200,001001010,011001000,0
1,67,74,202,001001010,011001010,0
1,68,74,204,001001010,011001100,0
1,69,74,206,001001010,011001110,0
1,70,74,208,001001010,011010000,0
1,71,74,209,001001010,011010001,0
1,72,74,212,001001010,011010100,0
1,73,74,213,001001010,011010101,0
1,74,74,216,001001010,011011000,0
1,75,74,220,001001010,011011100,0
1,76,74,224,001001010,011100000,0
1,77,74,225,001001010,011100001,0
1,78,74,226,001001010,011100010,0
1,79,74,227,001001010,011100011,0
1,80,74,229,001001010,011100101,0
1,81,74,231,001001010,011100111,0
1,82,74,232,001001010,011101000,0
1,83,74,234,001001010,011101010,0
1,84,74,240,001001010,011110000,0
1,85,74,241,001001010,011110001,0
1,86,74,245,001001010,011110101,0
1,87,74,248,001001010,011111000,0
1,88,74,266,001001010,100001010,0
1,89,74,267,001001010,100001011,0
1,90,74,268,001001010,100001100,0
1,91,74,269,001001010,100001101,0
1,92,74,270,001001010,100001110,0
1,93,74,271,001001010,100001111,0
1,94,74,274,001001010,100010010,0
1,95,74,275,001001010,100010011,0
1,96,74,276,001001010,100010100,0
1,97,74,277,001001010,100010101,0
1,98,74,278,001001010,100010110,0
1,99,74,279,001001010,100010111,0
1,100,74,282,001001010,100011010,0
1,101,74,283,001001010,100011011,0
1,102,74,284,001001010,100011100,0
1,103,74,285,001001010,100011101,0
1,104,74,286,001001010,100011110,0
1,105,74,287,001001010,100011111,0
1,106,74,290,001001010,100100010,0
1,107,74,291,001001010,100100011,0
1,108,74,293,001001010,100100101,0
1,109,74,295,001001010,100100111,0
1,110,74,298,001001010,100101010,0
1,111,74,299,001001010,100101011,0
1,112,74,301,001001010,100101101,0
1,113,74,303,001001010,100101111,0
1,114,74,306,001001010,100110010,0
1,115,74,307,001001010,100110011,0
1,116,74,309,001001010,100110101,0
1,117,74,311,001001010,100110111,0
1,118,74,314,001001010,100111010,0
1,119,74,315,001001010,100111011,0
1,120,74,317,001001010,100111101,0
1,121,74,319,001001010,100111111,0
1,122,74,330,001001010,101001010,0
1,123,74,332,001001010,101001100,0
1,124,74,334,001001010,101001110,0
1,125,74,338,001001010,101010010,0
1,126,74,339,001001010,101010011,0
1,127,74,340,001001010,101010100,0
1,128,74,341,001001010,101010101,0
1,129,74,342,001001010,101010110,0
1,130,74,343,001001010,101010111,0
1,131,74,346,001001010,101011010,0
1,132,74,348,001001010,101011100,0
1,133,74,350,001001010,101011110,0
1,134,74,354,001001010,101100010,0
1,135,74,355,001001010,101100011,0
1,136,74,357,001001010,101100101,0
1,137,74,359,001001010,101100111,0
1,138,74,362,001001010,101101010,0
1,139,74,370,001001010,101110010,0
1,140,74,371,001001010,101110011,0
1,141,74,373,001001010,101110101,0
1,142,74,375,001001010,101110111,0
1,143,74,378,001001010,101111010,0
1,144,74,394,001001010,110001010,0
1,145,74,395,001001010,110001011,0
1,146,74,396,001001010,110001100,0
1,147,74,397,001001010,110001101,0
1,148,74,398,001001010,110001110,0
1,149,74,399,001001010,110001111,0
1,150,74,404,001001010,110010100,0
1,151,74,405,001001010,110010101,0
1,152,74,412,001001010,110011100,0
1,153,74,413,001001010,110011101,0
1,154,74,418,001001010,110100010,0
1,155,74,419,001001010,110100011,0
1,156,74,421,001001010,110100101,0
1,157,74,423,001001010,110100111,0
1,158,74,426,001001010,110101010,0
1,159,74,427,001001010,110101011,0
1,160,74,429,001001010,110101101,0
1,161,74,431,001001010,110101111,0
1,162,74,437,001001010,110110101,0
1,163,74,445,001001010,110111101,0
1,164,74,458,001001010,111001010,0
1,165,74,460,001001010,111001100,0
1,166,74,462,001001010,111001110,0
