pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,min_flips,min_swaps
55,129,169,342,010101001,101010110,3,5
55,131,169,346,010101001,101011010,1,5
55,133,169,350,010101001,101011110,2,5
56,97,170,277,010101010,100010101,2,5
56,99,170,279,010101010,100010111,1,5
56,116,170,309,010101010,100110101,1,5
56,117,170,311,010101010,100110111,0,5
56,127,170,340,010101010,101010100,2,5
56,128,170,341,010101010,101010101,3,5
56,130,170,343,010101010,101010111,2,5
56,141,170,373,010101010,101110101,2,5
56,142,170,375,010101010,101110111,1,5
57,127,171,340,010101011,101010100,3,5
57,128,171,341,010101011,101010101,2,5
58,125,173,338,010101101,101010010,3,5
58,129,173,342,010101101,101010110,2,5
58,131,173,346,010101101,101011010,2,5
58,133,173,350,010101101,101011110,1,5
62,110,181,298,010110101,100101010,1,5
62,138,181,362,010110101,101101010,2,5
66,97,200,277,011001000,100010101,1,5
66,99,200,279,011001000,100010111,2,5
66,116,200,309,011001000,100110101,2,5
66,128,200,341,011001000,101010101,0,5
66,130,200,343,011001000,101010111,1,5
66,141,200,373,011001000,101110101,1,5
67,97,202,277,011001010,100010101,2,5
67,99,202,279,011001010,100010111,1,5
67,116,202,309,011001010,100110101,3,5
67,117,202,311,011001010,100110111,2,5
67,128,202,341,011001010,101010101,1,5
67,130,202,343,011001010,101010111,0,5
67,141,202,373,011001010,101110101,2,5
67,142,202,375,011001010,101110111,1,5
70,107,208,291,011010000,100100011,1,5
70,109,208,295,011010000,100100111,2,5
70,111,208,299,011010000,100101011,2,5
70,113,208,303,011010000,100101111,3,5
70,155,208,419,011010000,110100011,0,5
70,157,208,423,011010000,110100111,1,5
70,159,208,427,011010000,110101011,1,5
70,161,208,431,011010000,110101111,2,5
72,107,212,291,011010100,100100011,2,5
72,109,212,295,011010100,100100111,1,5
72,111,212,299,011010100,100101011,3,5
72,113,212,303,011010100,100101111,2,5
72,155,212,419,011010100,110100011,1,5
72,157,212,423,011010100,110100111,0,5
72,159,212,427,011010100,110101011,2,5
72,161,212,431,011010100,110101111,1,5
73,88,213,266,011010101,100001010,2,5
73,110,213,298,011010101,100101010,3,5
73,122,213,330,011010101,101001010,1,5
73,138,213,362,011010101,101101010,2,5
74,111,216,299,011011000,100101011,1,5
74,113,216,303,011011000,100101111,2,5
74,155,216,419,011011000,110100011,1,5
74,157,216,423,011011000,110100111,2,5
74,159,216,427,011011000,110101011,0,5
74,161,216,431,011011000,110101111,1,5
75,111,220,299,011011100,100101011,2,5
75,113,220,303,011011100,100101111,1,5
75,155,220,419,011011100,110100011,2,5
75,157,220,423,011011100,110100111,1,5
75,159,220,427,011011100,110101011,1,5
75,161,220,431,011011100,110101111,0,5
76,92,224,270,011100000,100001110,1,5
76,93,224,271,011100000,100001111,2,5
76,104,224,286,011100000,100011110,2,5
76,105,224,287,011100000,100011111,3,5
77,93,225,271,011100001,100001111,1,5
77,102,225,284,011100001,100011100,2,5
77,105,225,287,011100001,100011111,2,5
77,132,225,348,011100001,101011100,1,5
78,97,226,277,011100010,100010101,2,5
78,103,226,285,011100010,100011101,3,5
78,151,226,405,011100010,110010101,1,5
78,153,226,413,011100010,110011101,2,5
79,102,227,284,011100011,100011100,3,5
79,104,227,286,011100011,100011110,2,5
79,132,227,348,011100011,101011100,2,5
79,133,227,350,011100011,101011110,1,5
82,97,232,277,011101000,100010101,2,5
82,99,232,279,011101000,100010111,3,5
82,116,232,309,011101000,100110101,1,5
82,117,232,311,011101000,100110111,2,5
82,128,232,341,011101000,101010101,1,5
82,130,232,343,011101000,101010111,2,5
82,141,232,373,011101000,101110101,0,5
82,142,232,375,011101000,101110111,1,5
83,97,234,277,011101010,100010101,3,5
83,99,234,279,011101010,100010111,2,5
83,103,234,285,011101010,100011101,2,5
83,116,234,309,011101010,100110101,2,5
83,117,234,311,011101010,100110111,1,5
83,128,234,341,011101010,101010101,2,5
83,130,234,343,011101010,101010111,1,5
83,141,234,373,011101010,101110101,1,5
83,142,234,375,011101010,101110111,0,5
83,151,234,405,011101010,110010101,2,5
83,153,234,413,011101010,110011101,1,5
84,92,240,270,011110000,100001110,2,5
84,93,240,271,011110000,100001111,3,5
84,104,240,286,011110000,100011110,1,5
84,105,240,287,011110000,100011111,2,5
85,93,241,271,011110001,100001111,2,5
85,105,241,287,011110001,100011111,1,5
85,144,241,394,011110001,110001010,1,5
85,148,241,398,011110001,110001110,2,5
86,110,245,298,011110101,100101010,2,5
86,138,245,362,011110101,101101010,1,5
86,144,245,394,011110101,110001010,2,5
86,148,245,398,011110101,110001110,1,5
122,156,330,421,101001010,110100101,1,5
122,162,330,437,101001010,110110101,2,5
127,158,340,426,101010100,110101010,1,5
127,159,340,427,101010100,110101011,2,5
128,158,341,426,101010101,110101010,2,5
128,159,341,427,101010101,110101011,1,5
131,156,346,421,101011010,110100101,2,5
131,162,346,437,101011010,110110101,1,5
134,146,354,396,101100010,110001100,0,5
134,147,354,397,101100010,110001101,1,5
134,152,354,412,101100010,110011100,1,5
134,153,354,413,101100010,110011101,2,5
135,146,355,396,101100011,110001100,1,5
135,147,355,397,101100011,110001101,0,5
135,152,355,412,101100011,110011100,2,5
135,153,355,413,101100011,110011101,1,5
139,146,370,396,101110010,110001100,1,5
139,147,370,397,101110010,110001101,2,5
139,152,370,412,101110010,110011100,0,5
139,153,370,413,101110010,110011101,1,5
140,146,371,396,101110011,110001100,2,5
140,147,371,397,101110011,110001101,1,5
140,152,371,412,101110011,110011100,1,5
140,153,371,413,101110011,110011101,0,5
